epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.0002983577724080533,9.999999747378752e-05,8.532432556152344,0.00032755336724221706,8.646827697753906
1,0.0003007194318342954,9.999999747378752e-05,8.430275917053223,0.00022519295453093946,8.642326354980469
2,0.0001503597159171477,9.999999747378752e-05,8.330924034118652,0.00036849756725132465,8.77807331085205
3,0.0001141474349424243,9.999999747378752e-05,8.215743064880371,0.0002661371254362166,8.91987133026123
4,9.446684271097183e-05,9.999999747378752e-05,8.124995231628418,0.0004094417381566018,9.093962669372559
5,0.00011099853873020038,9.999999747378752e-05,8.043617248535156,0.00034802546724677086,9.102028846740723
6,0.0001503597159171477,9.999999747378752e-05,7.97323751449585,0.00036849756725132465,9.162622451782227
7,9.840296115726233e-05,1.9999999494757503e-05,8.785382270812988,0.0001228325127158314,8.666936874389648
8,3.621228825068101e-05,1.9999999494757503e-05,8.589211463928223,0.0001228325127158314,8.606632232666016
9,3.070172169827856e-05,1.9999999494757503e-05,8.55955982208252,0.00014330459816846997,8.597610473632812
